"ALEGRIA";"2011-02";"Furtos";"3"
"ALEGRIA";"2011-03";"Estelionato";"1"
"ALEGRIA";"2011-03";"Furtos";"2"
"ALEGRIA";"2011-03";"Roubos";"1"
"ALEGRIA";"2011-04";"Furto de veículo";"1"
"ALEGRIA";"2011-04";"Furtos";"3"
"ALEGRIA";"2011-06";"Furtos";"2"
"ALMIRANTE TAMANDARE DO SUL";"2011-01";"Delitos relacionados a armas e muniçoes";"1"
"ALMIRANTE TAMANDARE DO SUL";"2011-01";"Furtos";"2"
"ALMIRANTE TAMANDARE DO SUL";"2011-02";"Furtos";"1"
"ALMIRANTE TAMANDARE DO SUL";"2011-03";"Roubos";"1"
"ALMIRANTE TAMANDARE DO SUL";"2011-04";"Furtos";"2"
"ALMIRANTE TAMANDARE DO SUL";"2011-05";"Furtos";"1"
"ALPESTRE";"2011-01";"Delitos relacionados a armas e muniçoes";"1"
"ALPESTRE";"2011-01";"Furtos";"9"
"ALPESTRE";"2011-01";"Roubos";"1"
"ALPESTRE";"2011-02";"Delitos relacionados a armas e muniçoes";"1"
"ALPESTRE";"2011-02";"Furtos";"5"
"ALPESTRE";"2011-02";"Roubos";"1"
"ALPESTRE";"2011-03";"Delitos relacionados a armas e muniçoes";"2"
"ALPESTRE";"2011-03";"Furtos";"2"
"ALPESTRE";"2011-04";"Furtos";"7"
"ALPESTRE";"2011-04";"Roubos";"1"
"ALPESTRE";"2011-05";"Furtos";"6"
"ALPESTRE";"2011-06";"Entorpecentes - Tráfico";"1"
"ALPESTRE";"2011-06";"Furtos";"5"
"ALTO ALEGRE";"2011-03";"Furto de veículo";"1"
"ALTO ALEGRE";"2011-03";"Furtos";"3"
"ALTO ALEGRE";"2011-04";"Roubos";"1"
"ALTO ALEGRE";"2011-05";"Furto de veículo";"1"
"ALTO ALEGRE";"2011-05";"Furtos";"4"
"ALTO ALEGRE";"2011-06";"Furto de veículo";"1"
"ALTO FELIZ";"2011-02";"Furtos";"2"
"ALTO FELIZ";"2011-04";"Furtos";"1"
"ALTO FELIZ";"2011-05";"Delitos relacionados a armas e muniçoes";"1"
"ALTO FELIZ";"2011-05";"Furtos";"1"
"ALTO FELIZ";"2011-06";"Furtos";"1"
"ALVORADA";"2011-01";"Delitos relacionados a armas e muniçoes";"8"
"ALVORADA";"2011-01";"Delitos relacionados à corrupçao";"1"
"ALVORADA";"2011-01";"Entorpecentes - Posse";"24"
"ALVORADA";"2011-01";"Entorpecentes - Tráfico";"10"
"ALVORADA";"2011-01";"Estelionato";"13"
"ALVORADA";"2011-01";"Extorsão";"1"
"ALVORADA";"2011-01";"Furto de veículo";"15"
"ALVORADA";"2011-01";"Furtos";"170"
"ALVORADA";"2011-01";"Homicidio";"5"
"ALVORADA";"2011-01";"Roubo de veículo";"22"
"ALVORADA";"2011-01";"Roubos";"136"
"ALVORADA";"2011-02";"Delitos relacionados a armas e muniçoes";"7"
"ALVORADA";"2011-02";"Delitos relacionados à corrupçao";"1"
"ALVORADA";"2011-02";"Entorpecentes - Posse";"20"
"ALVORADA";"2011-02";"Entorpecentes - Tráfico";"13"
"ALVORADA";"2011-02";"Estelionato";"12"
"ALVORADA";"2011-02";"Extorsão";"3"
"ALVORADA";"2011-02";"Furto de veículo";"18"
"ALVORADA";"2011-02";"Furtos";"149"
"ALVORADA";"2011-02";"Homicidio";"7"
"ALVORADA";"2011-02";"Roubo de veículo";"20"
"ALVORADA";"2011-02";"Roubos";"146"
"ALVORADA";"2011-03";"Delitos relacionados a armas e muniçoes";"9"
"ALVORADA";"2011-03";"Delitos relacionados à corrupçao";"1"
"ALVORADA";"2011-03";"Entorpecentes - Posse";"26"
"ALVORADA";"2011-03";"Entorpecentes - Tráfico";"13"
"ALVORADA";"2011-03";"Estelionato";"16"
"ALVORADA";"2011-03";"Furto de veículo";"31"
"ALVORADA";"2011-03";"Furtos";"212"
"ALVORADA";"2011-03";"Homicidio";"5"
"ALVORADA";"2011-03";"Latrocínio";"1"
"ALVORADA";"2011-03";"Roubo de veículo";"18"
"ALVORADA";"2011-03";"Roubos";"137"
"ALVORADA";"2011-04";"Delitos relacionados a armas e muniçoes";"8"
"ALVORADA";"2011-04";"Delitos relacionados à corrupçao";"1"
"ALVORADA";"2011-04";"Entorpecentes - Posse";"29"
"ALVORADA";"2011-04";"Entorpecentes - Tráfico";"18"
"ALVORADA";"2011-04";"Estelionato";"14"
"ALVORADA";"2011-04";"Furto de veículo";"35"
"ALVORADA";"2011-04";"Furtos";"195"
"ALVORADA";"2011-04";"Homicidio";"9"
"ALVORADA";"2011-04";"Roubo de veículo";"20"
"ALVORADA";"2011-04";"Roubos";"157"
"ALVORADA";"2011-05";"Delitos relacionados a armas e muniçoes";"14"
"ALVORADA";"2011-05";"Entorpecentes - Posse";"39"
"ALVORADA";"2011-05";"Entorpecentes - Tráfico";"14"
"ALVORADA";"2011-05";"Estelionato";"14"
"ALVORADA";"2011-05";"Furto de veículo";"42"
"ALVORADA";"2011-05";"Furtos";"185"
"ALVORADA";"2011-05";"Homicidio";"6"
"ALVORADA";"2011-05";"Roubo de veículo";"14"
"ALVORADA";"2011-05";"Roubos";"182"
